name,isPoly,callsPoly,nsends,loc
apache-directorystudio_r817075_20090920-AttributeTypeAndValueValueEditor-getRawValue, true, true, 3, 19
apache-directorystudio_r817075_20090920-AttributeTypeAndValueDialog-createButtonsForButtonBar, false, false, 1, 3
apache-directorystudio_r817075_20090920-RenameEntryDialog-RenameEntryDialog, false, false, 8, 11
apache-directorystudio_r817075_20090920-EntryEditorWidget-EntryEditorWidget, false, false, 0, 3
apache-directorystudio_r817075_20090920-EntryEditorWidgetSorter-getSortByOrDefault, false, false, 1, 14
apache-directorystudio_r817075_20090920-EntryEditorWidgetActionGroupWithAttribute-contextMenuAboutToShow, true, false, 8, 24
apache-directorystudio_r817075_20090920-ConnectionPropertyPage-setMessage, false, false, 1, 3
apache-directorystudio_r817075_20090920-SearchPage-setContainer, false, false, 0, 3
apache-directorystudio_r817075_20090920-AttributeTypeSelectionDialog-setSearchInput, false, false, 4, 9
apache-directorystudio_r817075_20090920-ObjectClassSelectionDialogContentProvider-inputChanged, false, false, 0, 2
apache-directorystudio_r817075_20090920-SchemaEditorTableViewerLabelProvider-getColumnImage, false, false, 4, 13
apache-directorystudio_r817075_20090920-ServerConfigurationV155-setLdapsPort, false, false, 0, 3
apache-directorystudio_r817075_20090920-Partition-setEnableOptimizer, false, false, 0, 3
apache-directorystudio_r817075_20090920-ACIContentAssistProcessor-getCompletionProposalAutoActivationCharacters, false, false, 0, 14
apache-directorystudio_r817075_20090920-ConsolesHandler-getDefault, false, false, 1, 8
apache-directorystudio_r817075_20090920-SearchResultEditor-isDirty, false, false, 0, 3
apache-directorystudio_r817075_20090920-SearchResultEditorInput-getPersistable, false, false, 0, 3
apache-directorystudio_r817075_20090920-SearchResultEditorCellModifier-getValue, false, true, 8, 24
apache-directorystudio_r817075_20090920-ServersView-initListeners, false, false, 8, 115
apache-directorystudio_r817075_20090920-Folder-addAllChildren, false, false, 2, 8
apache-directorystudio_r817075_20090920-LdapFilterItemComponent-setAttributeToken, false, true, 1, 3
